pregunta,categoria,dificultad,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,correctas
"Segun la definicion del programa, ¿que es un proceso?",Modulo 1: Fundamentos Estrategicos,Facil,Un conjunto de actividades interrelacionadas que transforman entradas en salidas mediante la utilizacion de recursos en sus niveles optimos,Una lista de tareas asignadas a un unico departamento de la organizacion,Un documento normativo aprobado por la alta direccion,Una herramienta de software para diagramar flujos de trabajo,,A
"Segun McKinsey & Company (2023), ¿que porcentaje de las iniciativas de transformacion fracasa por NO gestionar sus procesos?",Modulo 1: Fundamentos Estrategicos,Facil,50%,70%,30%,90%,,B
¿Como se define Lean Manufacturing en el modulo de fundamentos?,Modulo 1: Fundamentos Estrategicos,Media,Una metodologia sistemica cuyo objetivo es crear valor reduciendo el costo de cualquier proceso mediante la eliminacion de desperdicios,Un sistema para aumentar la produccion sin importar la demanda del cliente,Una norma internacional de certificacion de calidad,Un modelo financiero para reducir la nomina de la empresa,,A
"En el enfoque Lean, ¿que es un desperdicio (muda)?",Modulo 1: Fundamentos Estrategicos,Media,Las actividades que no generan valor agregado al cliente externo,Las actividades que generan valor agregado al cliente externo,Cualquier actividad de control de calidad,El tiempo dedicado a capacitar al personal,,A
¿Cual es una caracteristica de la gestion por funciones (silos funcionales)?,Modulo 1: Fundamentos Estrategicos,Media,"Cada area optimiza SU resultado, no el del cliente final",Existe un dueno de proceso con responsabilidad clara end-to-end,Las decisiones se basan en datos y evidencia,La mejora es proactiva y sistematica,,A
¿Cual de las siguientes es una caracteristica de la gestion por procesos?,Modulo 1: Fundamentos Estrategicos,Media,"El foco esta en el valor para el cliente final, con duenos de proceso responsables",La informacion se pierde entre departamentos,Nadie es dueno del flujo completo,"La mejora es reactiva, del tipo apagar incendios",,A
"La frase ""Toda empresa es un sistema de procesos. Si no los gestionas, ellos te gestionan a ti"" se atribuye a:",Modulo 1: Fundamentos Estrategicos,Media,Hammer & Champy,Treacy & Wiersema,Kaplan & Norton,W. Edwards Deming,,A
"Segun el modulo, las organizaciones con procesos maduros son aproximadamente:",Modulo 1: Fundamentos Estrategicos,Media,2.5 veces mas rentables que sus competidores directos,Igual de rentables que sus competidores,10 veces mas rentables que cualquier competidor,Menos rentables pero mas estables,,A
"En los 7 pasos de la gestion por procesos, el Paso 1 (Vision, Mision y Objetivos) corresponde a:",Modulo 1: Fundamentos Estrategicos,Facil,El Rumbo,El Gobierno,Los Como,El Orden,,A
"En los 7 pasos de la gestion por procesos, ¿que paso corresponde al Comite de Procesos?",Modulo 1: Fundamentos Estrategicos,Facil,Paso 3 - El Gobierno,Paso 1 - El Rumbo,Paso 5 - Los Medios,Paso 7 - El Orden,,A
